Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
52.12332697130222,F,5.0,Post-Graduate,Unknown,$40K - $60K,Blue,62.6805305953057,3.0,0.7846086187971678,3.7777395820328716,3.177137550619446,0.0,9.696377679766924,0.5254754340159304,4.524630522837344,14.69437394915666,0.4546789112433021,0.0
54.292103033431616,M,4.0,Graduate,Single,$120K +,Blue,68.27775313662977,3.0,1.3401306638127914,2.8595196828765004,3.314221272599555,1763.0,12.372780755784076,0.5996458236936044,4.552790949007515,20.34211693102747,0.5926732865114146,0.051
40.22911994530827,M,3.0,Unknown,Married,$60K - $80K,Blue,42.793565697950044,3.0,0.7846086187971678,1.9280209192160092,3.1786459295002287,1680.0,9.132321255068016,0.5931674077656429,4.6776573444085505,17.992138345703935,0.44526986522162365,0.362
61.89596442144374,F,1.0,Unknown,Single,Less than $40K,Blue,79.66601107126517,4.0,1.7850067109460743,0.9783565022598081,3.160727028201366,1882.0,8.583619129989932,0.4716419320193486,4.901687864259341,30.032159736314334,0.5363804220373113,0.493
36.99651552664737,M,4.0,Graduate,Single,$60K - $80K,Blue,32.44486490272231,3.0,1.7850067109460743,2.8595196828765004,3.229820991845592,719.0,10.439937502836521,0.37215115082898975,4.651656654054744,26.933257445333545,0.41156167475851646,0.082
39.150995461553165,F,3.0,High School,Single,Less than $40K,Blue,37.56914186933914,3.0,1.3401306638127914,3.7777395820328716,3.1085718514019662,0.0,8.79379477414843,0.4474693750792924,4.745922840618693,30.032159736314334,0.4416369243392751,0.0
33.76946348634969,M,3.0,Unknown,Single,$120K +,Blue,29.089549152256673,6.0,1.3401306638127914,1.9280209192160092,3.2638175759837944,1673.0,11.050249394368773,0.4316703249015877,4.74332709581416,29.352935424739563,0.38161401867813494,0.117
46.70936743296097,F,4.0,Uneducated,Married,Less than $40K,Silver,57.15320245585392,6.0,1.7850067109460743,0.0,3.251801467443282,0.0,10.973337425847257,0.44525461211257766,4.82151464760313,27.978654212997,0.5542796542593538,0.0
65.16059657870024,M,0.0,High School,Married,$80K - $120K,Blue,83.51580031050923,4.0,0.7846086187971678,2.8595196828765004,3.130215811378816,2448.0,6.464099549908091,0.3689840805956753,4.525125625450372,19.95675236238744,0.353064427205757,0.874
53.207495926520906,M,1.0,College,Single,$80K - $120K,Blue,62.6805305953057,4.0,1.7850067109460743,1.9280209192160092,3.1985495732535125,2007.0,9.4717343766303,0.44228002226798474,4.925957133905336,36.25678690726087,0.43382588531746935,0.343
